frame,track_id,x_center,y_center,width,height
344,0.0978487,0.531764,0.0401197,0.139653,45.0
335,0.0980361,0.539324,0.052682,0.145067,45.0
364,0.0983427,0.41657,0.0410677,0.116513,37.0
201,0.0985422,0.396973,0.0330515,0.107551,5.0
354,0.0993093,0.437809,0.0291638,0.0963051,37.0
103,0.0999351,0.719316,0.0463591,0.164395,15.0
292,0.100062,0.496914,0.041759,0.138424,43.0
157,0.100359,0.228955,0.0281813,0.0803004,27.0
102,0.100529,0.322262,0.0239021,0.108608,3.0
365,0.100765,0.412511,0.0420291,0.119323,37.0
120,0.101096,0.208155,0.0172266,0.0802332,12.0
205,0.10265,0.3406,0.0246932,0.0862187,19.0
351,0.102791,0.643428,0.0369008,0.170798,44.0
353,0.102838,0.434603,0.0262917,0.0941543,37.0
168,0.102935,0.403976,0.0315355,0.120483,11.0
334,0.102945,0.541262,0.0448371,0.142023,45.0
366,0.102999,0.408827,0.0394811,0.117791,37.0
97,0.103026,0.303861,0.0175384,0.0948494,8.0
64,0.10342,0.451446,0.0203211,0.123318,6.0
352,0.103464,0.640787,0.0311957,0.170718,44.0
91,0.103663,0.607287,0.0367485,0.139723,10.0
350,0.103676,0.642595,0.0423537,0.172821,44.0
353,0.10383,0.640629,0.0291772,0.172822,44.0
298,0.104176,0.618425,0.03717,0.156366,44.0
355,0.104394,0.648947,0.0295117,0.17743,44.0
354,0.104481,0.647104,0.0291228,0.174628,44.0
356,0.10464,0.645726,0.0301521,0.176173,44.0
215,0.10526,0.450957,0.0377021,0.117994,20.0
339,0.105317,0.356336,0.0427168,0.125509,46.0
317,0.105446,0.543675,0.0374781,0.144244,45.0
156,0.105464,0.227756,0.0254397,0.0789839,27.0
210,0.105642,0.420756,0.0530152,0.110245,23.0
367,0.105802,0.400203,0.0354152,0.111482,37.0
200,0.10584,0.398658,0.0362618,0.109879,5.0
357,0.105961,0.645047,0.0354252,0.176795,44.0
167,0.106539,0.404896,0.0318046,0.117753,11.0
332,0.10665,0.540136,0.0370304,0.138146,45.0
349,0.106663,0.639595,0.0478538,0.175741,44.0
201,0.106786,0.586759,0.0441047,0.138525,2.0
363,0.106894,0.660773,0.0489977,0.179909,44.0
362,0.106929,0.650524,0.0518843,0.17937,44.0
166,0.107517,0.405563,0.0326823,0.116934,11.0
118,0.107646,0.422195,0.0228508,0.120894,9.0
249,0.107741,0.319226,0.0388023,0.103329,14.0
333,0.107744,0.542129,0.0391937,0.13816,45.0
358,0.107784,0.651941,0.0431667,0.177809,44.0
361,0.107814,0.646889,0.0535157,0.178907,44.0
293,0.108164,0.499992,0.050777,0.127043,43.0
368,0.108273,0.403679,0.0324944,0.116896,37.0
359,0.10842,0.657317,0.049461,0.17639,44.0
331,0.108464,0.538088,0.0438236,0.136875,45.0
364,0.108509,0.661414,0.0443137,0.178318,44.0
360,0.10853,0.654997,0.0528206,0.177412,44.0
348,0.108544,0.641984,0.0470277,0.173156,44.0
248,0.108595,0.318703,0.0346269,0.102106,14.0
102,0.108777,0.72071,0.0424456,0.165193,15.0
63,0.109387,0.451148,0.0208429,0.121935,6.0
363,0.110089,0.476309,0.0293839,0.141069,43.0
361,0.110544,0.461833,0.0328724,0.152026,43.0
371,0.110676,0.470475,0.0364708,0.148439,43.0
119,0.110796,0.209366,0.0193397,0.0790911,12.0
369,0.110802,0.404576,0.0323471,0.107402,37.0
247,0.110861,0.319139,0.0297679,0.104145,14.0
362,0.110995,0.466517,0.0297818,0.143985,43.0
364,0.111073,0.477987,0.0291402,0.13879,43.0
